Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Structural-Life Safety Violations,33 Harrison Ave,Staten Island,11/25/2011 02:52:44 PM,11/25/2011 05:03:19 PM,40.63677831035696,-74.1355642546811
Utility-Water Service Line,201 East 21 Street,Manhattan,11/26/2011 03:29:22 PM,11/27/2011 12:16:07 AM,40.737411739060356,-73.98374020264542
Utility-Power Outage,2700 Eastchester Rd,Bronx,11/27/2011 01:59:41 AM,11/27/2011 07:06:23 PM,40.865378166784176,-73.84332566241437
LawEnforcement-Suspicious Package,237 West 42 Street,Manhattan,11/27/2011 09:09:05 PM,11/27/2011 09:57:22 PM,40.756784769961286,-73.98870218212154
LawEnforcement-Suspicious Package,W 42 St & 8 Ave,Manhattan,09/19/2011 03:57:27 PM,11/27/2011 10:00:51 PM,40.75723226512758,-73.98979219054627
Structural-Street Collapse,Broad Street & Water Street,Manhattan,03/19/2017 09:03:04 PM,03/20/2017 10:16:46 AM,,
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,03/20/2017 12:45:26 PM,40.71400364095638,-73.82998933154158
HazMat-Other,19th Street & 10th Avenue,Brooklyn,03/20/2017 05:07:55 PM,03/20/2017 05:41:26 PM,40.60034238799193,-73.98552085340384
Fire-10-76 (Commercial High Rise Fire),1535 Broadway,Manhattan,02/17/2017 07:09:41 AM,,40.71442154062271,-74.00607638041981
Utility-Power Outage,3301 Quentin Road,Brooklyn,02/15/2017 12:23:37 PM,02/15/2017 07:59:09 PM,,
Fire-3rd Alarm,7 East 84 Street,Manhattan,03/14/2017 03:04:32 AM,,40.71442154062271,-74.00607638041981
Fire-3rd Alarm,7 East 84 Street,Manhattan,03/14/2017 03:04:32 AM,,40.71442154062271,-74.00607638041981
Fire-Other,East 58  & 1st Avenue,Manhattan,03/24/2017 09:19:17 AM,03/24/2017 10:55:32 AM,40.71442154062271,-74.00607638041981
Utility-Power Outage,Central Ave  & Beach 20th,Queens,03/24/2017 10:40:09 AM,03/24/2017 11:25:45 AM,40.71400364095638,-73.82998933154158
LawEnforcement-Suspicious Package,Clove Road  & Howard Ave,Staten Island,09/14/2013 07:25:42 PM,09/14/2013 08:15:37 PM,40.6124195890474,-74.09934987986261
Law Enforcement-Suspicious Package,77 5th Avenue,Manhattan,03/25/2017 01:00:22 AM,,40.71442154062271,-74.00607638041981
Fire-1st Alarm,355 Bard Ave,Staten Island,03/28/2014 08:20:10 AM,03/28/2014 12:43:44 PM,40.63539792729565,-74.10666567792681
Fire-2nd Alarm,52-15 Seabury Street,Queens,03/29/2015 09:38:45 AM,03/29/2015 10:58:20 AM,40.73615486447601,-73.87853730874454
Fire-2nd Alarm,1048 46 street,Brooklyn,04/02/2015 11:43:16 PM,04/03/2015 02:17:23 AM,40.64009151058811,-73.99599322588628
Fire-2nd Alarm,96-01 Liberty Avenue,Queens,03/02/2017 10:59:12 AM,03/02/2017 12:50:59 PM,40.71400364095638,-73.82998933154158
Fire-3rd Alarm,68 Driggs Street,Staten Island,03/06/2017 04:10:57 AM,03/13/2017 10:32:42 AM,40.541946569279844,-74.14887190311504
Law Enforcement-Suspicious Package,4 West 93rd Street,Manhattan,03/13/2017 10:07:06 AM,03/13/2017 11:25:10 AM,40.71442154062271,-74.00607638041981
Fire-10-76 (Commercial High Rise Fire),1301 6 Avenue,Manhattan,03/13/2017 11:30:40 AM,03/13/2017 01:08:16 PM,40.71442154062271,-74.00607638041981
Utility-Electric Feeder Cable,,Brooklyn,03/11/2017 07:51:42 AM,03/13/2017 04:24:41 PM,,
Fire-5th Alarm,60-15 Main Street,Queens,03/12/2017 04:25:15 PM,03/13/2017 09:14:29 PM,40.71400364095638,-73.82998933154158
Fire-4th Alarm,200 Willoughby Avenue,Brooklyn,02/15/2013 02:29:54 AM,02/15/2013 06:32:36 PM,40.69205555743225,-73.96395780606423
Structural-Scaffold,West 60 Street  & West End Avenue,Manhattan,02/17/2013 10:05:26 PM,02/18/2013 04:45:23 AM,40.77224053110615,-73.98999568080659
Fire-10-77 (Residential High Rise),1335 6 Ave,Manhattan,04/17/2013 05:08:12 PM,04/17/2013 06:40:55 PM,40.76221795556279,-73.97874176445413
Administration-Planned Event,,Brooklyn,07/07/2015 05:54:47 PM,07/10/2015 08:49:34 PM,,
Structural-Construction Accident,149-31 Powells Cove Boulevard,Queens,12/08/2016 11:56:54 AM,12/08/2016 12:30:21 PM,40.71400364095638,-73.82998933154158
Law Enforcement-Suspicious Package,West 51 Street  & 5 Avenue,Manhattan,12/23/2016 07:35:16 PM,12/23/2016 08:06:16 PM,40.71442154062271,-74.00607638041981
Transportation-Other,Avenue U & East 15 Street,Brooklyn,10/15/2014 11:35:30 AM,11/02/2014 12:35:56 PM,40.59883457776629,-73.9564028401063
Utility-Gas Main Rupture,85-01 24th Avenue,queens,10/24/2014 08:23:20 AM,11/02/2014 12:36:11 PM,40.76518368100936,-73.88419897484425
Law Enforcement-Suspicious Package,East 46 Street & 5 Avenue,Manhattan,09/20/2014 02:08:20 PM,11/02/2014 12:38:31 PM,40.75603135426773,-73.97902527873016
Utility-Water Main,2 Avenue & East 84 Street,manhattan,09/10/2014 04:06:16 PM,11/02/2014 12:39:17 PM,40.776562455794256,-73.95270476776597
Utility-Manhole,324 West 76th Street,Manhattan,07/29/2011 11:09:59 PM,07/29/2011 11:31:14 PM,40.78264229162836,-73.98319474005895
LawEnforcement-Suspicious Package,5th Ave & 20th Street,Brooklyn,08/01/2011 08:38:12 AM,08/01/2011 10:06:22 AM,40.661909634035766,-73.99283807177376
Utility-Manhole,328 E 59 St,Manhattan,07/29/2011 03:08:21 PM,08/01/2011 04:24:51 PM,40.76001816216976,-73.96294280134161
Utility-Water Main,West 149th Street & Saint Nicholas Ave,Manhattan,08/02/2011 08:55:45 AM,08/02/2011 01:17:04 PM,40.82664386597422,-73.94305774865255
LawEnforcement-Suspicious Package,West 44th Street & Broadway,Manhattan,08/02/2011 10:23:00 PM,08/02/2011 10:49:34 PM,40.75725654757144,-73.98582167954895
Transportation-Train Subway,E 125 St & Lexington Ave,Manhattan,08/03/2011 04:33:56 AM,08/03/2011 01:45:02 PM,40.80437576957002,-73.93742023722204
Utility-Electric Overhead,,Staten Island,02/16/2017 12:19:26 AM,02/16/2017 01:41:12 AM,,
Structural-Scaffold,39 W 54th St,Manhattan,08/03/2011 05:40:51 PM,08/03/2011 05:58:23 PM,40.76161921306351,-73.9767313033155
Fire-10-77 (Residential High Rise),120 East 50 St,Manhattan,08/04/2011 04:03:38 PM,08/04/2011 05:23:29 PM,40.75666133768914,-73.97277339186014
Utility-Water Service Line,757 55th Street,Brooklyn,11/19/2011 11:24:19 AM,11/20/2011 01:42:25 PM,40.63881775891545,-74.00744049515774
Fire-Overturn Tractor Trailer,Vandervoort Ave & Cherry St,Brooklyn,11/21/2011 07:37:17 AM,11/21/2011 09:59:23 AM,40.72390826126581,-73.93761846176845
Fire-Hospital,599 Winthrop Street,Brooklyn,11/27/2011 09:15:36 PM,11/28/2011 04:16:43 AM,40.65771153255341,-73.94071146747255
LawEnforcement-Suspicious Package,61-10 BROADWAY,Queens,11/28/2011 07:36:23 AM,11/28/2011 07:57:22 AM,40.750610743001985,-73.90068223497411
Rescue-High Angle,East 122nd Street & Park Avenue,Manhattan,05/24/2012 09:11:14 AM,05/24/2012 09:31:46 AM,40.80312302824215,-73.94043746847854
Structural-Scaffold,300 Wyona St,Brooklyn,05/24/2012 07:04:33 PM,05/24/2012 09:11:59 PM,40.67154352941788,-73.89284392561146
Utility-Transformer,110 West 25 St.,Manhattan,05/09/2013 07:14:53 PM,05/11/2013 12:14:09 AM,40.74444469562326,-73.99250440212924
Structural-Crane,157 West 57 St.,Manhattan,05/01/2013 01:36:57 PM,05/11/2013 12:48:00 PM,40.76520433298488,-73.97927869870011
LawEnforcement-Suspicious Substance,1 Centre Street,Manhattan,05/30/2013 10:46:29 AM,05/31/2013 12:55:31 PM,40.71300094078728,-74.00418069316733
Utility-Other,434 Beach 54 Street,Queens,01/09/2017 12:54:45 PM,,40.71400364095638,-73.82998933154158
Structural-Construction Accident,153 East 87th Street,Manhattan,12/23/2016 09:48:47 AM,12/23/2016 11:53:26 PM,40.71442154062271,-74.00607638041981
Administration-Other,,Brooklyn,12/24/2016 12:56:33 AM,12/24/2016 01:04:47 AM,,
Fire-1st Alarm,28 East 48 Street,Manhattan,07/14/2014 02:05:08 PM,11/02/2014 12:39:41 PM,40.756502917533695,-73.97627829213253
Structural-Bricks,231 Franklin Avenue,Brooklyn,11/02/2014 09:48:12 AM,11/02/2014 01:33:51 PM,,
Fire-2nd Alarm,335 Rockaway Avenue,Brooklyn,06/26/2014 09:41:28 PM,11/02/2014 08:35:48 PM,40.671751332473974,-73.91124674299249
Utility-Life Safety Violations,2455  Grand Avenue,Bronx,07/23/2011 04:15:48 PM,08/04/2011 10:46:59 PM,40.86322327246757,-73.9029652341188
LawEnforcement-Suspicious Package,170 Avenue D,Manhattan,08/05/2011 11:03:21 AM,08/05/2011 11:41:29 AM,40.7257448601366,-73.97452139651332
Utility-Water Main,East 164 Street & Jerome Avenue,Bronx,08/04/2011 06:37:24 AM,08/05/2011 06:04:52 PM,40.83142398269868,-73.92642759162531
Utility-Water Condition,Freeman St & Southern Blvd,Bronx,08/05/2011 03:44:23 PM,08/06/2011 07:56:33 AM,40.83013694115274,-73.89187665421247
Fire-Haz Mat,1201 Gates Ave,Brooklyn,08/08/2011 09:27:09 AM,08/08/2011 10:50:42 AM,40.692524081481864,-73.91910191569104
Fire-School,417 Troy Avenue,Brooklyn,12/09/2016 09:12:00 AM,12/09/2016 09:54:06 AM,40.66418774576897,-73.93707461220276
HazMat-High Carbon Monoxide,30 Cooper Square,Manhattan,01/12/2017 02:30:24 PM,01/13/2017 01:00:56 PM,40.71442154062271,-74.00607638041981
Administration-Planned Event,,Queens,07/17/2014 03:01:44 PM,11/02/2014 08:36:58 PM,40.75552267037758,-73.84671399489465
Utility-Power Outage,w 28 street & Neptune Ave,Brooklyn,11/02/2014 06:13:32 PM,11/02/2014 08:37:26 PM,40.57788068691745,-73.99475860677573
Utility-Steam Main,East 65 Street & Park Avenue,Manhattan,08/04/2011 01:55:48 AM,08/09/2011 10:22:11 AM,40.766667180962024,-73.96706540302519
Fire-3rd Alarm,68 Thompson Street,Manhattan,08/05/2011 02:16:02 AM,08/09/2011 11:26:44 AM,40.72436977078086,-74.00304135078763
Transportation-Train Ground Level,West 34 Street & 7 Avenue,Manhattan,08/09/2011 08:36:24 AM,08/09/2011 10:43:28 PM,40.7509907832196,-73.99062326583427
Utility-Water Main,West 3rd Street & LaGuardia Place,Manhattan,08/09/2011 01:14:15 PM,08/10/2011 12:19:24 AM,40.7293103533704,-73.99788568956492
Utility-Gas High Pressure,120  W 106 St,Manhattan,05/25/2012 09:53:31 AM,05/25/2012 11:49:53 AM,40.799583771684304,-73.96370815843561
Utility-Network Condition,,Brooklyn,06/25/2013 04:08:06 PM,06/25/2013 11:47:49 PM,,
Utility-Gas Main Rupture,53 East 65th Street,Manhattan,08/10/2011 09:45:15 AM,08/10/2011 10:26:38 AM,40.76709289628782,-73.96806157606984
Fire-3rd Alarm,1520 Sheridan Avenue,Bronx,08/06/2011 10:42:16 PM,08/11/2011 12:40:19 PM,40.841250311723755,-73.91120131729924
LawEnforcement-Suspicious Package,9 East 91 Street,Manhattan,11/28/2011 02:47:00 PM,11/28/2011 03:39:26 PM,40.7844966279787,-73.95754874418698
Structural-Construction Accident,329 Greenpoint Ave,Brooklyn,11/29/2011 02:40:01 PM,11/29/2011 03:27:47 PM,40.73148266318194,-73.9462709470409
Utility-Water Main,400 East 34th Street,Manhattan,05/28/2012 11:29:54 PM,05/29/2012 08:17:52 AM,40.74369527731596,-73.97332001323518
Administration-OEM Assistance Requested,West End Avenue & West 86th Street,Manhattan,05/29/2012 11:31:53 AM,05/29/2012 01:39:16 PM,40.7888801678243,-73.97785571348426
LawEnforcement-Suspicious Package,174 Scholes St,Brooklyn,05/30/2012 02:20:37 PM,05/31/2012 12:59:06 AM,40.7088694860564,-73.94244779076983
Utility-Water Main,26 Federal Plaza,Manhattan,05/31/2012 08:52:44 AM,05/31/2012 11:01:19 AM,40.716014666692125,-74.00474362389673
Administration-Drill,,Queens,06/19/2014 03:44:43 PM,06/21/2014 04:32:04 PM,,
HazMat-Fuel,,Brooklyn,12/10/2014 12:33:24 AM,12/10/2014 02:47:28 AM,,
LawEnforcement-Suspicious Package,44  Wall Street,Manhattan,05/13/2013 11:28:33 AM,05/13/2013 12:28:54 PM,40.70653943302354,-74.00973837569393
Utility-Water Main,West 81st Street & Central Park West,Manhattan,01/14/2017 12:15:09 AM,,40.71442154062271,-74.00607638041981
LawEnforcement-Suspicious Package,East Houston Street & Crosby Street,Manhattan,05/13/2013 10:58:11 PM,05/13/2013 11:12:16 PM,40.72520963181269,-73.99584740347154
HazMat-High Carbon Monoxide,East 149 Street & Courtlandt Avenue,Bronx,09/11/2013 04:09:53 PM,09/11/2013 06:02:30 PM,40.81655399617738,-73.919543640783
LawEnforcement-Suspicious Package,20 Broad Street,Manhattan,09/11/2013 09:28:19 PM,09/12/2013 04:34:22 AM,40.70655304001491,-74.0110332212392
Utility-Water Service Line,W 61 St & Amsterdam Ave,Manhattan,12/11/2013 09:43:52 AM,12/11/2013 04:51:44 PM,40.771669291670605,-73.98669592202735
Aviation-Helicopter,E 83 St & York,Manhattan,12/12/2013 07:52:50 AM,12/12/2013 07:52:50 AM,,
Fire-1st Alarm,,Manhattan,11/15/2013 11:42:49 AM,12/17/2013 06:26:10 PM,40.78925031193323,-73.93703711396601
LawEnforcement-Suspicious Package,,Brooklyn,11/13/2013 04:15:54 PM,12/17/2013 06:28:28 PM,40.61093905459654,-74.0321368225105
HazMat-Other,1616 East 54 Street,Brooklyn,10/06/2015 06:52:56 PM,10/06/2015 09:26:46 PM,40.61812937381646,-73.92290577192043
Structural-Other,1040 40 Street,Brooklyn,11/30/2016 10:54:01 PM,12/09/2016 11:37:02 AM,40.64340511475535,-73.99248525099273
Utility-Sewer Service,88-08 164  Street,Queens,01/13/2017 12:31:39 PM,01/14/2017 07:01:52 AM,40.71400364095638,-73.82998933154158
Fire-2nd Alarm,3022 Barnes Avenue,Bronx,11/02/2014 07:45:46 PM,11/02/2014 10:38:49 PM,40.87061964358276,-73.8633248201835
Fire-2nd Alarm,184-13 140 Avenue,Queens,11/16/2014 11:45:09 PM,11/17/2014 04:43:22 AM,40.714002862143445,-73.82998687369445
LawEnforcement-Device,Wall St  & South St,Manhattan,08/11/2011 07:22:22 PM,08/11/2011 07:47:41 PM,,
HazMat-High Carbon Monoxide,126-07 109 Ave,Queens,08/14/2011 09:29:51 AM,08/14/2011 02:30:24 PM,40.68402831785584,-73.8159706419577
Utility-Power Outage,Canarsie,Brooklyn,08/14/2011 06:46:50 PM,08/14/2011 09:09:02 PM,40.64443810546983,-73.89506394080902
Utility-Water Main,West 152nd Street & St. Nicholas Avenue,Manhattan,08/12/2011 01:25:46 PM,,40.828729426178306,-73.9422068077885
Structural-Scaffold,340 West 23rd Street,Manhattan,05/31/2012 02:08:14 PM,05/31/2012 02:48:47 PM,40.745806335007956,-73.99972933012543
Weather-Flooding,Amboy Road & Ainsworth Ave,Staten Island,08/14/2011 01:13:23 PM,08/15/2011 01:36:04 AM,40.55404125975797,-74.14054235045663
Structural-Partial Collapse,169 Graham Ave,Brooklyn,08/14/2011 09:28:17 AM,08/15/2011 03:08:50 PM,40.70776650496872,-73.94328193070709
LawEnforcement-Police Officer Assualted,2800 Victory Boulevard (CUNY-CSI),Staten Island,11/29/2011 02:56:47 PM,,,
Fire-1st Alarm,760 8th Avenue,Manhattan,11/29/2011 10:30:13 PM,11/29/2011 11:59:16 PM,40.760116784047895,-73.98767285043459
Structural-Car into Building,2240  Flatbush Ave,Brooklyn,05/31/2012 01:13:29 PM,05/31/2012 03:38:07 PM,40.6153829558332,-73.92890247494314
Fire-Sensitive Location,,Brooklyn,05/31/2012 09:28:49 PM,,,
Fire-10-76 (Commercial High Rise),116 John Street,Manhattan,06/01/2012 10:20:09 AM,06/01/2012 01:12:56 PM,40.70760467118321,-74.00572048542381
Fire-Explosion,461 W. 14th Street,Manhattan,06/01/2012 10:44:25 AM,06/01/2012 01:43:38 PM,40.74200458903309,-74.00784897847252
HazMat-High Carbon Monoxide,155 East 31st Street,Manhattan,05/13/2013 04:45:51 AM,05/14/2013 06:54:20 PM,40.744256647850285,-73.98051222217627
LawEnforcement-Suspicious Package,,Manhattan,04/25/2013 08:15:38 PM,04/26/2013 04:40:18 AM,,
Utility-Water Condition,900 Intervale Avenue,Bronx,06/14/2013 05:12:45 AM,06/14/2013 08:00:54 AM,40.81909889821929,-73.8961831113495
LawEnforcement-Suspicious Package,42nd Street & 2nd Avenue,Manhattan,09/26/2013 04:04:09 PM,09/26/2013 05:18:39 PM,40.74982403769067,-73.97220233150266
LawEnforcement-Suspicious Package,4030 Hubbard Place,Brooklyn,10/08/2013 02:28:20 AM,10/08/2013 05:37:53 AM,40.62517797317974,-73.93630940322417
Fire-1st Alarm,,Manhattan,08/23/2013 12:56:44 AM,12/17/2013 07:40:58 PM,40.749726192696954,-73.96718200403943
Utility-Manhole,North Portland  & Myrtle Avenue,Brooklyn,12/17/2013 05:37:08 PM,12/17/2013 07:48:41 PM,,
Transportation-Car,Grand Central Parkway & Jewel Avenue,Queens,11/20/2013 10:50:51 PM,12/17/2013 08:01:10 PM,40.72569283251985,-73.83770915941176
Other-Injured Worker,1535  Broadway,Manhattan,12/19/2013 11:15:18 AM,12/19/2013 12:10:45 PM,40.75826656948823,-73.98546772308859
Structural-Sidewalk Collapse,127 Orchard Street,Manhattan,10/10/2013 11:06:57 PM,10/11/2013 10:31:51 AM,40.719678535345274,-73.9894480131652
Structural-Bus into Building,143 East 34 Street,Manhattan,12/19/2013 09:10:27 AM,12/19/2013 12:50:02 PM,40.746249131533915,-73.97933872872503
Utility-Power Outage,,Staten Island,12/19/2013 04:15:21 PM,12/19/2013 07:15:34 PM,,
Fire-Sensitive Location,29-38  Far Rockaway Blvd,Queens,12/20/2013 07:56:08 AM,12/20/2013 09:11:07 AM,40.59854109796811,-73.76446734791976
Fire-Manhole,25-41 Broadway,Queens,03/06/2014 07:50:46 AM,03/06/2014 01:56:32 PM,40.76331464861765,-73.9281922520612
Rescue-Technical,151 East 28 street,Manhattan,03/25/2014 02:39:49 PM,03/25/2014 03:37:07 PM,40.742412399004614,-73.98188047707356
LawEnforcement-Suspicious Package,265 East 161 Street,Bronx,03/25/2014 03:29:44 PM,03/25/2014 06:20:49 PM,40.82567137644758,-73.9187232454018
HazMat-Chemical,311  Bridge St,Brooklyn,03/26/2014 11:59:12 AM,03/26/2014 11:59:25 AM,40.694437213399524,-73.98515347578967
LawEnforcement-Suspicious Package,42 South St,Manhattan,03/27/2014 04:28:52 PM,03/27/2014 05:40:42 PM,40.70346546184439,-74.00753787654496
LawEnforcement-Device,97-21 126 St,Queens,03/27/2014 06:45:59 PM,03/27/2014 07:26:32 PM,40.69268158104106,-73.8205408835779
Fire-2nd Alarm,135 Kent Ave,Brooklyn,07/12/2014 11:26:35 AM,07/12/2014 12:42:47 PM,40.71968111068645,-73.96239163414806
Fire-Other,50 West 33rd Street,Manhattan,07/18/2014 07:59:13 PM,07/18/2014 08:42:11 PM,40.748391102879246,-73.98654538070508
Structural-Construction Accident,726 Monroe Street,Brooklyn,08/15/2014 02:33:20 PM,08/15/2014 06:59:27 PM,40.68807240083968,-73.92786582491364
Utility-Water Main,290 5th Avenue,Manhattan,08/18/2014 09:43:05 AM,08/18/2014 02:26:13 PM,40.746233687245436,-73.98618131197092
Rescue-Technical,East 83 Street & 2 Avenue,Manhattan,08/20/2014 03:42:33 PM,08/20/2014 05:21:14 PM,40.775923120912054,-73.95316737408257
Fire-Explosion,251 East 35th Street,Manhattan,08/01/2014 11:11:57 AM,08/21/2014 10:55:23 AM,40.74579289714769,-73.97619910020356
Structural-Stability Problem,300 East 5th Street,Manhattan,07/24/2014 10:59:37 AM,08/21/2014 10:56:01 AM,40.726622695287766,-73.98863152984724
Structural-Life Safety Violations,1535 vyse avenue,bronx,08/21/2014 01:09:05 PM,08/21/2014 06:29:43 PM,40.83387948575388,-73.88770034864939
Utility-Manhole,233 East 69th Street,Manhatan,09/23/2015 07:11:10 AM,09/24/2015 10:05:10 AM,40.76725804116946,-73.96067524375098
Utility-Manhole,1330 6th Avenue,Manhattan,01/23/2016 10:14:57 PM,01/24/2016 02:51:35 AM,40.762102687674776,-73.97880316809508
Utility-Other,Hylan Blvd & Arbutus Avenue,Staten Island,11/29/2016 06:49:45 AM,,40.52609318085672,-74.18029750962154
Utility-Water Main,153  West 85 St.,Manhattan,06/15/2013 12:19:28 PM,06/16/2013 06:43:36 AM,40.786436583957084,-73.97414789147099
Utility-Water Main,Bay Street & St John's Avenue,Staten Island,06/16/2013 04:38:25 AM,06/16/2013 06:12:12 PM,40.612221955801424,-74.06475514724733
LawEnforcement-Suspicious Package,2 King Street,Manhattan,10/11/2013 04:54:13 PM,10/11/2013 05:23:21 PM,40.72760310485824,-74.00261576074189
Utility-Gas High Pressure,1785 Park Place,Brooklyn,10/11/2013 02:31:07 PM,10/12/2013 01:10:59 AM,40.671687905926596,-73.91825479732877
Fire-10-77 (Residential High Rise),700  Esplanade Gardens Plaza,Manhattan,12/20/2013 08:34:56 AM,12/20/2013 09:24:08 AM,40.82053324920101,-73.93614411094367
Fire-Manhole,170 William Street,Manhattan,12/20/2013 10:34:06 AM,12/20/2013 11:17:50 AM,40.71047295900515,-74.00550791747823
LawEnforcement-Suspicious Package,111 th Street  & Liberty Ave,Queens,12/20/2013 12:12:18 PM,12/20/2013 01:19:42 PM,,
LawEnforcement-Subway Track Search,Nostrand Avenue & Newkirk Avenue,Brooklyn,12/20/2013 04:15:25 PM,12/20/2013 06:55:02 PM,40.63998668638632,-73.94841286136078
HazMat-Other,840 Astor Ave,Bronx,11/25/2014 08:14:47 AM,11/25/2014 09:14:33 PM,40.85963318536327,-73.86244868602533
Fire-Other,74-03 34th Avenue,Queens,12/09/2016 12:00:27 PM,12/09/2016 12:45:53 PM,40.71400364095638,-73.82998933154158
Utility-Other,800 East 165 Street,Bronx,12/23/2016 11:39:13 PM,12/25/2016 01:23:42 AM,40.8244241563508,-73.90144657719696
Utility-Water Service Line,34-28 21 Street,Queens,03/25/2015 05:54:28 PM,03/27/2015 05:26:47 AM,40.76233576866965,-73.9344635793475
Utility-Gas Main Rupture,128 Clymer St,Brooklyn,08/15/2011 11:23:04 AM,08/15/2011 08:31:21 PM,40.706177461584964,-73.96420985934118
Structural-Street Collapse,Narrows Road North & Richmond Road,Staten Island,08/14/2011 10:37:09 PM,08/17/2011 08:21:49 AM,40.60940244095766,-74.0901073887912
Structural-Stability Problem,78 Douglass St,Brooklyn,08/18/2011 12:18:46 PM,08/18/2011 03:56:52 PM,40.683233729769114,-73.99184065107463
Structural-Basement Flooding,4922 5th Ave,Brooklyn,08/14/2011 06:32:30 PM,08/18/2011 06:29:01 PM,40.64549837885624,-74.00992405586483
Structural-Stability Problem,11 Hillside Ave,Manhattan,08/18/2011 09:41:44 PM,08/19/2011 10:08:05 AM,40.85899726259551,-73.93078217514929
Transportation-Train Ground Level,,Manhattan,06/17/2013 06:07:42 PM,06/19/2013 08:26:55 AM,,
HazMat-Solid,801 Franklin Ave,Brooklyn,03/28/2014 04:10:06 PM,04/02/2014 04:38:47 PM,40.67166521727959,-73.95759893081956
Rescue-Confined Space,10 Columbus Circle,Manhattan,09/25/2014 06:35:40 AM,09/25/2014 10:12:50 AM,40.76786998308247,-73.98231759655258
Fire-2nd Alarm,850  Hylan Blvd,Staten Island,10/12/2013 06:07:08 AM,10/12/2013 06:58:03 AM,40.599314470091144,-74.07181862293183
Structural-Falling Debris,250 West 19 Street,Manhattan,10/15/2013 03:19:34 PM,10/15/2013 07:28:47 PM,40.74224364437296,-73.9988812910098
Fire-10-77 (Residential High Rise),8400  Shore Front Parkway,Queens,12/21/2013 08:21:37 AM,12/21/2013 09:38:18 AM,40.58534285237653,-73.80974049886491
Fire-1st Alarm,3260 Flatbush Avenue,Brooklyn,12/25/2013 11:39:07 AM,12/25/2013 12:09:56 PM,40.58862642303523,-73.89921653842906
Fire-3rd Alarm,2835 West 19th Street,Brooklyn,03/28/2014 02:02:14 AM,03/28/2014 05:23:36 AM,40.577915646846726,-73.98609014142005
HazMat-High Carbon Monoxide,726 49 St.,Brooklyn,03/29/2014 11:28:24 PM,03/30/2014 01:21:10 AM,40.64255356126189,-74.0045942675312
HazMat-Suspicious Substance,150 55 St.,Brooklyn,04/27/2014 01:07:12 AM,04/27/2014 07:28:06 AM,40.64694065898867,-74.02092961613678
Utility-Odor Of Gas,East 13th Street  & Avenue B,Manhattan,04/29/2014 11:57:35 AM,04/29/2014 12:52:58 PM,40.72874569735123,-73.97853596190387
Utility-Power Outage,1155 Pennsylvania Ave,Brooklyn,12/10/2014 09:03:24 PM,12/11/2014 01:40:09 AM,40.652155873176795,-73.88582229440632
Fire-Haz Mat,,Manhattan,04/21/2015 07:28:57 PM,04/21/2015 10:27:21 PM,40.81966357493952,-73.9518730921119
Fire-3rd Alarm,70-05 52 Avenue,Queens,08/09/2015 03:11:13 AM,08/09/2015 06:22:58 AM,40.73361193655314,-73.89390597586065
Structural-Crane Collapse,Victory Blvd & Glen Street,Staten Island,08/18/2011 09:06:48 AM,08/19/2011 12:50:24 PM,40.59038059629409,-74.1929382542537
Fire-4th Alarm,1225 White Plains Rd,Bronx,08/21/2011 02:10:59 PM,08/22/2011 09:48:04 AM,40.83127977017791,-73.86197610747786
LawEnforcement-Suspicious Package,66-11 Woodhaven Blvd,Queens,11/30/2011 09:55:33 AM,11/30/2011 10:42:14 AM,40.718030626225136,-73.86331811785031
Structural-Other,1040 40 Street,Brooklyn,11/30/2016 10:54:01 PM,,40.64340511475535,-73.99248525099273
Utility-Water Main,650 Madison Ave,Manhattan,12/01/2011 12:03:25 AM,12/01/2011 12:55:38 PM,40.76412661627275,-73.97103396642898
Fire-10-77 (Residential High Rise),2550 Olinville Ave,Bronx,06/01/2012 01:59:20 PM,06/01/2012 04:22:03 PM,40.86394107600946,-73.86840148254916
Fire-3rd Alarm,147  Conselyea St,Brooklyn,06/01/2012 09:24:33 PM,06/02/2012 11:48:35 AM,40.71516732742362,-73.94522716787947
Utility-Power Outage,8000 Utopia Parkway,Queens,05/30/2012 01:51:03 PM,06/03/2012 12:16:31 PM,40.725600424999655,-73.79169409417528
HazMat-Liquid,460 Kent Ave,Brooklyn,06/03/2012 05:29:37 PM,06/03/2012 06:53:31 PM,40.70837176933238,-73.96845400863126
Structural-Scaffold,44 Seaman Avenue,Manhattan,01/30/2016 11:51:26 AM,01/30/2016 02:11:32 PM,40.86727815634528,-73.9265650843815
Utility-Water Service Line,W 45 St & 7 Ave,Manhattan,08/23/2011 04:11:54 PM,08/23/2011 04:58:59 PM,40.75793446811854,-73.98556886403077
LawEnforcement-Suspicious Package,8th Avenue & West 47th Street,Manhattan,08/23/2011 04:21:32 PM,08/23/2011 05:08:58 PM,40.76040496070708,-73.98747426235282
HazMat-Unidentified powder,220 E 42nd St,Manhattan,11/30/2011 04:02:06 PM,12/01/2011 02:07:04 PM,40.75025521256567,-73.97325603005623
Medical-EMS MCI (Multiple Casualty Incident),262 Dahill Road,Brooklyn,12/01/2011 11:14:54 PM,12/02/2011 04:20:13 AM,40.64110269989117,-73.98018922833552
Fire-1st Alarm,1 World Trade Center,Manhattan,06/02/2012 07:51:14 AM,06/04/2012 12:25:57 PM,40.71339277498818,-74.01307601542064
